date,state,dte_reco,iv_percentile,vrp_iv_minus_hv,iv30,hv30,close,rsi14,ma20,ma50,dist_ma20_pct,below_ma50,mnav,btc_price
2026-06-09,OPPORTUNE_PUTS,30-38,87.6,4.9,79.6,74.7,117.02,31.0,154.0,154.98,-24.0,True,,
2026-06-10,OPPORTUNE_PUTS,30-38,87.3,2.1,76.7,74.7,115.35,30.4,150.54,154.86,-23.4,True,1.201,61170.0
2026-06-11,NEUTRAL,-,87.6,-0.6,74.8,75.5,120.15,34.3,147.65,154.77,-18.6,True,1.187,63585.0
2026-06-12,NEUTRAL,-,86.9,-2.0,72.7,74.7,123.97,37.2,144.5,154.79,-14.2,True,1.214,63463.0
2026-06-15,NEUTRAL,-,86.1,-3.3,70.4,73.7,131.14,42.5,142.19,155.02,-7.8,True,1.211,66153.0
2026-06-16,NEUTRAL,-,86.1,-5.1,68.9,74.0,122.81,38.4,139.99,154.92,-12.3,True,1.166,65711.0
2026-06-17,OPPORTUNE_PUTS,30-38,86.1,0.7,75.0,74.3,116.56,35.7,137.59,154.77,-15.3,True,1.15,64342.0
2026-06-18,OPPORTUNE_PUTS,30-38,86.1,2.7,77.0,74.3,112.53,34.0,134.93,154.46,-16.6,True,1.103,64510.0
2026-06-22,OPPORTUNE_PUTS,30-38,85.4,3.1,77.3,74.1,109.46,32.8,132.16,154.07,-17.2,True,1.108,62213.0
2026-06-23,OPPORTUNE_PUTS,30-38,84.0,18.7,91.4,72.7,103.84,30.5,129.36,153.58,-19.7,True,1.09,59565.0
2026-06-24,EXTREME_PUTS,30-45,84.4,19.2,92.8,73.6,94.13,27.1,126.07,152.81,-25.3,True,1.061,60710.0
